datetime,latitude,longitude,sensorType,accuracy,altitude,speed,bearing,isTooQuick,isFirstNonNoiseSensorData,isNoise,isClassifiedStop,distance
2021-11-24 17:12:30.068Z,52.0587859,4.5392253,network,20.0,48.900001525878906,0.0,0.0,false,true,true,,
2021-11-24 17:12:49.933Z,52.0587898,4.5392119,network,19.415,48.900001525878906,0.0,0.0,false,true,true,,
2021-11-24 17:13:00.618Z,52.058775,4.5392675,network,20.408,48.900001525878906,0.0,0.0,false,true,true,,
2021-11-24 17:13:20.874Z,52.0587264,4.5394065,network,21.46,48.900001525878906,0.0,0.0,false,true,true,,
2021-11-24 17:13:29.565Z,52.058809655718505,4.539468269795179,gps,20.0,27.0,1.4499999,0.0,false,true,false,,
2021-11-24 17:13:30.399Z,52.05881024245173,4.539498360827565,gps,18.5,31.0,1.3399999,23.0,true,false,false,,2.0
2021-11-24 17:13:31.582Z,52.05888031516224,4.539636662229896,gps,10.5,68.0,1.75,22.0,true,false,false,,14.0
2021-11-24 17:13:31.946Z,52.05878727603704,4.539818381890655,gps,10.0,86.0,1.31,25.7,true,false,false,,24.0
2021-11-24 17:13:33.507Z,52.058760286308825,4.539795918390155,gps,12.5,84.0,0.51,39.8,true,false,false,,23.0
2021-11-24 17:13:34.430Z,52.05874565988779,4.539770437404513,gps,11.0,81.0,0.58,125.5,true,false,false,,22.0
2021-11-24 17:13:35.396Z,52.058729734271765,4.539750823751092,gps,11.0,80.0,0.68,172.5,true,false,false,,21.0
2021-11-24 17:13:36.608Z,52.058715778402984,4.5397518295794725,gps,10.5,79.0,0.44,206.8,true,false,false,,22.0
2021-11-24 17:13:37.450Z,52.05871602986008,4.539764821529388,gps,10.5,80.0,0.53,183.4,true,false,false,,23.0
2021-11-24 17:13:38.371Z,52.05871833488345,4.539769012480974,gps,11.5,80.0,0.34,204.2,true,false,false,,23.0
2021-11-24 17:13:39.425Z,52.05872311256826,4.539770605042577,gps,12.0,81.0,0.93,300.5,true,false,false,,23.0
2021-11-24 17:13:40.365Z,52.058732248842716,4.5397712755948305,gps,12.0,82.0,1.3399999,347.2,true,false,false,,22.0
2021-11-24 17:13:41.045Z,52.0589315,4.539547,network,92.9,51.5,0.0,0.0,true,false,true,,15.0
2021-11-24 17:13:41.331Z,52.05874658189714,4.539762390777469,gps,12.5,82.0,1.56,6.4,true,false,false,,21.0
2021-11-24 17:13:42.353Z,52.05876037012786,4.539744621142745,gps,13.5,81.0,1.76,10.8,true,false,false,,20.0
2021-11-24 17:13:43.333Z,52.058772440068424,4.539725761860609,gps,13.5,82.0,1.79,8.4,true,false,false,,18.0
2021-11-24 17:13:44.349Z,52.058775960467756,4.539714278653264,gps,14.5,82.0,1.2099999,15.7,true,false,false,,17.0
2021-11-24 17:13:45.360Z,52.058771518059075,4.5396985206753016,gps,14.5,83.0,1.11,15.3,true,false,false,,16.0
2021-11-24 17:13:46.398Z,52.058768291026354,4.53968427143991,gps,15.0,84.0,1.1,11.0,true,false,false,,16.0
2021-11-24 17:13:47.352Z,52.058759364299476,4.539673626422882,gps,15.5,86.0,1.14,357.6,true,false,false,,15.0
2021-11-24 17:13:48.373Z,52.0587546704337,4.53965350985527,gps,16.5,87.0,1.1999999,341.6,true,false,false,,14.0
2021-11-24 17:13:49.370Z,52.05874771345407,4.539632638916373,gps,19.0,89.0,1.22,323.6,true,false,false,,13.0
2021-11-24 17:13:50.416Z,52.05874385777861,4.539614701643586,gps,19.5,89.0,0.95,312.9,true,false,false,,12.0
2021-11-24 17:13:51.375Z,52.05873677507043,4.539597015827894,gps,20.0,89.0,0.75,302.7,true,false,false,,12.0
2021-11-24 17:13:52.404Z,52.058732374571264,4.5395854488015175,gps,20.5,90.0,0.65999997,293.9,true,false,false,,12.0
2021-11-24 17:13:53.403Z,52.05872776452452,4.539571786299348,gps,21.5,93.0,0.77,284.5,true,false,false,,12.0
2021-11-24 17:13:54.416Z,52.05871644895524,4.539547227323055,gps,22.5,93.0,1.31,270.3,true,false,false,,12.0
2021-11-24 17:13:55.400Z,52.05869830213487,4.5395138673484325,gps,23.0,92.0,1.88,256.6,true,false,false,,13.0
2021-11-24 17:13:56.355Z,52.05869373399764,4.539475478231907,gps,23.5,92.0,2.11,255.9,true,false,false,,13.0
2021-11-24 17:13:57.386Z,52.05867852084339,4.539440609514713,gps,24.0,92.0,2.22,254.1,true,false,false,,15.0
2021-11-24 17:13:58.371Z,52.05865379422903,4.539402471855283,gps,24.5,90.0,2.61,247.2,true,false,false,,18.0
2021-11-24 17:13:59.350Z,52.05862118862569,4.539364166557789,gps,25.5,88.0,3.1,237.8,true,false,false,,22.0
2021-11-24 17:14:00.256Z,52.0559168,4.5253837,network,1000.0,0.0,0.0,0.0,true,false,true,,1018.0
2021-11-24 17:14:00.323Z,52.05857316032052,4.539325777441263,gps,28.0,84.0,3.6999998,226.9,true,false,false,,28.0
